   9.2      -7.5     47.5 
   9.5      -9.2     47.5 
   9.9     -10.4     47.4 
  10.7     -10.1     47.5 
  11.3      -8.3     47.5 
  11.6      -6.4     47.7 
  11.5      -5.5     47.8 
  10.8      -4.6     47.6 
   9.7      -3.1     48.1 
   8.9      -1.4     48.1 
   8.5      -0.2     48.4 
   7.6       1.2     48.8 
   6.5       3.2     49.4 
   5.9       5.4     49.6 
   5.9       6.8     49.9 
   5.8       7.2     50.5 
   5.8       7.7     51.1 
   6.0       8.2     51.1 
   6.0       8.7     51.0 
   5.5       9.1     51.0 
   5.4       9.8     50.5 
   6.0      11.0     50.0 
   6.2      11.7     50.1 
   5.4      10.9     50.0 
   5.0      10.0     50.0 
   5.8      10.6     50.1 
   6.5      11.7     50.4 
   6.5      11.8     50.9 
   6.9       9.6     50.9 
   7.4       6.4     50.6 
   7.6       6.0     50.6 
   7.2       8.0     50.4 
   6.9       8.4     50.1 
   7.1       6.8     49.9 
   8.1       6.3     49.7 
   9.6       7.4     49.9 
  10.9       8.1     50.0 
  11.0       6.7     50.1 
  10.5       3.8     49.7 
  10.4       1.7     48.8 
  10.5       1.7     48.1 
  10.3       2.9     48.1 
  10.0       4.1     47.9 
   9.2       5.2     47.9 
   8.1       6.7     48.5 
   7.3       7.7     48.8 
   6.0       8.0     49.0 
   4.8       8.6     50.0 
   4.5      10.1     51.1 
   4.4      12.2     51.5 
   3.7      14.0     52.4 
   3.0      14.9     52.0 
   2.7      14.9     52.0 
   3.0      14.7     52.0 
   3.3      15.4     52.0 
   3.3      16.4     52.1 
   3.4      16.0     52.0 
   3.6      14.6     51.5 
   3.8      14.1     51.5 
   4.1      14.1     51.4 
   4.6      13.9     51.0 
   5.0      12.6     51.1 
   5.0      10.4     51.0 
   4.7       8.9     51.0 
   4.4       9.9     50.9 
   4.7      12.1     51.1 
   5.2      13.1     50.8 
   5.2      12.5     51.0 
   5.0      11.3     51.0 
   5.0      10.4     51.5 
   4.9       9.8     51.5 
   4.8       9.3     51.5 
   4.7       8.6     51.0 
   4.6       7.9     51.5 
   4.3       8.0     51.0 
   4.2       9.1     51.0 
   4.6      11.0     51.0 
   5.2      12.6     51.1 
   5.8      12.6     51.1 
   6.1      11.0     51.0 
   6.6       9.2     51.1 
   7.2       7.9     51.1 
   7.2       6.7     50.8 
   6.8       5.3     50.5 
   7.0       4.4     50.1 
   7.7       4.3     49.0 
   7.5       3.9     49.0 
   6.4       3.2     49.5 
   5.6       2.9     49.4 
   5.0       3.4     49.0 
   4.0       3.8     49.6 
   2.8       3.7     49.7 
   2.4       3.3     49.9 
   2.6       2.6     50.8 
   2.1       2.5     51.6 
   1.6       3.1     52.1 
   1.8       4.0     51.9 
   1.9       4.7     51.9 
   1.8       4.5     52.0 
   1.9       3.6     51.6 
