1850   10.2962   12.0752
1851    9.9594   12.1791
1852   10.1210   12.5863
1853   10.1327   13.1102
1854   10.6543   13.1466
1855   10.8364   12.7531
1856   11.0281   12.4638
1857   11.0341   12.6191
1858   11.2415   12.6556
1859   11.0551   12.4461
1860   10.7084   12.0855
1861   10.3448   12.2357
1862   10.8088   12.7230
1863   10.6911   12.7857
1864   11.0305   13.1417
1865   11.0077   12.9441
1866   10.8475   12.6786
1867   10.9759   12.9292
1868   11.2061   13.3344
1869   11.2164   12.9096
1870   10.2295   12.3556
1871   10.3730   13.0036
1872   10.5781   13.4657
1873   10.7086   13.5514
1874   11.0092   13.4180
1875   11.1882   13.1689
1876   11.2799   13.2765
1877   11.2780   12.9880
1878   11.3415   13.0940
1879   11.0444   13.1218
1880   10.4652   13.0775
1881   10.4957   13.6280 
1882   10.7277   13.8444 
1883   10.7687   13.8824 
1884   10.8646   13.8953 
1885   11.4167   13.6134 
1886   11.2451   12.7572 
1887   11.0714   12.8483 
1888   11.3269   12.7509 
1889   10.6152   12.3177 
1890   10.4800   12.6828 
1891   10.2914   13.2617 
1892   10.6517   13.6000 
1893   10.9711   13.7479 
1894   10.8359   13.3827 
1895   10.8452   13.4222 
1896   11.1595   13.6087 
1897   11.2433   13.2208 
1898   11.1620   13.2515 
1899   10.6416   13.4610 
1900   10.7359   13.5512 
1901   10.7751   13.7410 
1902   10.9616   14.3164 
1903   11.1057   14.2131 
1904   10.9091   13.7369 
1905   10.9330   13.8702 
1906   11.0030   13.4518 
1907   10.5756   12.9177 
1908    9.9774   12.5151 
1909    9.7902   12.6188 
1910    9.9891   13.5267 
1911   10.4045   13.7784 
